years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1905,984.9742245,907.8741538,1140.23562,786.7391911,1426.01894,1319.067166,1116.328817,820.3956473,1437.762623,1385.057214,506.9086666,2058.97289,1541.357077,1128.026825,1055.859854,696.2627083
1906,1422.477739,652.0802713,1200.679087,857.630688,2229.684695,1231.14855,789.2909436,466.9895012,1074.231062,1040.426307,337.5541378,1832.854965,1516.999546,1191.851744,897.6129899,547.3465191
1907,1297.725951,774.5543182,1250.852067,573.7098411,1807.275583,1075.962684,1056.187364,625.0765102,1170.46658,1006.438001,306.6694119,1901.590908,1122.2024,1386.538505,1136.15784,797.3103662
1908,1263.607432,902.5811232,1610.473761,733.6922058,1366.754109,1185.327099,1151.122204,1449.532761,1166.767627,1388.789749,359.5778232,1257.033159,1584.963867,1164.205833,1036.663094,787.159738
1909,1482.638178,792.2973867,1274.575657,916.7539448,1369.044993,1282.997251,991.8093654,863.9579128,1104.018049,1389.97904,347.4728458,1901.803558,1735.006483,1400.315974,973.5338675,793.010755
1910,1221.211267,830.1459837,1242.113885,682.0890368,1523.458329,1236.1778,958.3406689,755.9871211,1025.178111,1544.039508,380.7234156,1959.176843,1458.549885,1195.874952,1151.279372,1064.232649
1911,1066.379147,625.6626749,1078.598614,778.1304602,2205.772164,1250.761868,1017.169937,754.9898346,1174.695626,1127.824305,384.6711533,1965.787041,1468.575104,1309.458315,1260.124161,809.1908793
1912,787.3635772,853.0354361,1305.256081,719.7107987,1845.480213,1258.466482,1202.374634,1068.705544,1133.75707,1262.772802,324.6655572,2018.65176,1463.462981,1677.711581,1034.967579,716.2710529
1913,1476.712123,757.3347818,1494.915366,792.2351053,1287.224195,1183.480687,993.0488887,824.4887494,1098.605386,1155.639527,272.7635404,1942.824549,1637.694105,933.2995989,687.753597,895.974949
1914,937.0500779,930.650738,1117.639671,665.3198498,1187.158862,1170.694561,1140.384026,1223.2679,1120.310928,1432.247085,339.5245642,1755.639662,1604.754143,1486.338757,1239.21384,946.3175118
1915,713.058568,855.3781179,1360.355803,840.2437547,1123.049985,1469.583318,957.3410694,598.6431696,967.915493,1451.713582,338.5769098,1887.494186,1585.011086,1100.823934,1593.806328,986.6428395
1916,1080.915008,749.279832,1429.288961,800.3070223,1736.351911,1423.265987,733.4867521,737.9543197,1177.485153,1515.724841,508.7127499,1827.888791,1483.619957,1383.365074,1388.844091,1074.524474
1917,1266.84217,890.8851177,1137.466868,602.1707148,1812.401005,1163.243035,820.9098557,872.3386447,1077.187509,1420.853615,623.2183833,1775.172673,1443.309217,1190.373911,1050.853628,964.656513
1918,1073.105885,832.0778647,1172.757534,579.5573333,1160.082787,1181.263626,1074.548394,742.7657781,1196.496688,919.3761126,319.8747155,1623.62679,1299.515832,1465.975967,1082.833613,637.0094476
1919,1180.617669,943.3697893,1423.168511,703.5170843,1730.664994,1290.513114,776.2957147,499.9814056,1133.781765,905.4799055,342.6906823,1873.517095,1363.753617,1417.646474,1181.777594,968.3322638
