years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1917,0.168731644,0.567631679,-0.738864904,-1.494918313,0.496665364,-1.044792131,-1.204013696,0.58521096,-0.452520314,0.868421858,2.6725656,-0.544508449,-0.522138836,-0.299351137,-0.256882866,0.779771954
1918,-0.77964447,0.000229276,-0.531576465,-1.718020063,-2.029505843,-0.902435736,0.815203543,-0.041038619,0.63591992,-1.949904729,-0.550347439,-1.270136814,-1.769574327,1.008647243,-0.104581626,-1.264360949
1919,-0.253353753,1.074030589,0.939274237,-0.49504342,0.180134026,-0.039402834,-1.559187019,-1.214460302,0.06378083,-2.028002051,-0.307936323,-0.07361805,-1.212299093,0.779277042,0.36662844,0.802704323
1920,0.874680012,1.401243029,0.075841377,-2.047351253,-0.675546257,-0.940659916,2.036794784,0.84915686,-1.054503222,-0.462473881,1.029749191,0.124189409,-0.101188583,-1.01610275,1.212222612,-0.90934526
1921,2.283834256,-0.190495033,0.456932546,-0.466150381,-0.472362592,0.439900407,0.55873621,-1.055373119,0.724041723,0.396024492,-0.796857337,-0.838538678,-0.230447646,0.887676794,0.370913399,0.256699034
1922,0.34549692,-0.54715262,1.315865534,0.426746538,0.968582982,0.942770948,1.040493075,0.678083956,0.456012539,0.177506782,0.616691163,0.477857209,-0.539927095,2.02520513,2.627509077,0.974840115
1923,-0.202032238,0.438662813,-0.324833512,2.621010721,0.80548224,1.643101789,0.668096078,1.864360738,-0.387202471,0.313298196,-0.54100042,0.095820245,-0.793333708,-1.111721927,0.509666213,-1.515413913
1924,1.069838639,-0.113057274,1.747749134,-2.058585977,-0.585607718,0.133349651,-0.596785444,-0.69958988,0.644835721,-1.300236124,-0.97006802,0.442293457,-0.299113079,0.299123091,-0.078896011,0.532077565
1925,-0.132556909,1.724854555,0.102531946,-0.198819197,-1.041135246,-1.039839874,-1.181531271,-0.19229906,1.282071879,-0.645041764,-0.295601328,-0.004091262,1.356722863,-0.17977671,0.857204571,-0.267948573
1926,0.756530255,-0.6422247,-0.260330591,-0.028621124,-1.292513533,-0.660342558,0.475426898,-0.977669934,0.284463128,0.205275847,1.087820727,0.142585991,-0.386372111,-2.161824962,-0.488678184,0.464046014
1927,0.08603811,-0.560918567,-0.575195966,1.012651506,0.545207503,-1.14023775,-1.372312356,1.042956358,0.240902723,0.177825881,0.809794468,-1.193624762,0.059905832,0.768296634,-0.041559355,0.933569118
1928,0.244662538,0.09667896,-1.081755677,0.504117568,-1.782864175,-0.243709953,-0.479655241,-0.335516284,0.928732322,1.055794218,-1.17850384,-1.124240842,0.316659211,0.628261759,-0.458065748,1.296582025
1929,-0.912406395,-0.705888546,-0.231623786,-1.388669119,-1.444064657,0.731120051,-1.323215036,2.793884387,-0.395183022,-2.040130559,0.434710181,1.063659716,-0.717507487,-0.879817185,1.11963371,-0.154046653
1930,0.110697614,0.303989552,1.297252245,1.735803074,0.367545249,-1.107331856,-1.534112708,-0.245652435,2.846214465,1.265163572,0.132861283,2.01048554,-0.337283107,-1.729603086,-0.175593185,1.454156987
