years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1926,290.79878012180416,413.9002956585969,1108.4150164271705,477.2144128277432,209.25443279902538,591.2560052460321,228.56307271390506,458.8078047588169,667.1646116736156,411.14466468316095,669.126141646484,1137.8232397546526,1000.1725368194457,1031.1155120842159,2247.96292904648,668.7881729232686
1927,374.0872175560071,695.3468955185599,960.3773414535681,463.630981886061,147.24028577611534,633.4126799458318,223.50377421353187,199.20797280653062,491.6190458490746,679.4368658699568,540.198463624256,1412.7048528171144,1092.6070488142445,1196.2999858038984,1816.3337971345754,726.2347127609246
1928,321.5543529149727,501.5428000058819,1253.8986722236587,524.6079199909218,70.40342241716644,949.0986906692797,233.34692167682078,334.00773979477094,827.5110551346188,360.0717969282414,598.3571494973148,1334.2276485404,1234.816264496476,1025.8358741237316,2013.9292149280664,354.67538031230106
1929,261.8010138794489,525.8863498811024,1019.9387591026607,540.985060049934,240.76133983826367,862.7185588968132,238.4408872126187,409.8516822820784,874.3847468780586,467.6378651849973,603.6730354695464,1452.7412021183409,1228.2086337610963,1090.4725984088145,1743.8821571529843,361.70282587163456
1930,585.6693479261594,372.4583138876483,1036.734963741037,501.0528990296734,83.19822221146751,749.0244888867892,284.78812361772725,223.45894597983715,767.4778206528572,508.37172730134625,635.6231245616073,1560.2618690463714,1258.6616195534589,1160.0581935199443,1979.2832556646317,935.3902139244838
1931,300.41047277227335,536.4948033926339,1323.3424474485219,483.5655446549936,189.5842069925493,738.3821364890764,261.64997560063057,245.1994515657816,668.3820543202273,297.30451050672855,528.32846197972,1364.6921532286797,678.7693511090765,1177.2741372173186,1722.2566819516942,393.037587478193
1932,461.1418626449449,494.2251580995446,833.2644696871284,535.058282089085,130.12097703795007,1395.2749231393682,157.3997021165269,128.82190269338025,574.6077595475526,499.41468668885136,661.6013347067565,1208.0293256789446,592.9459701557789,814.8347009831923,1627.0960509151337,368.2456107948383
1933,336.39038932378753,422.7175427316979,1541.809637012193,652.2658575777314,139.6472252206877,1094.478654838656,191.20301088023552,347.6494755857857,391.3304318588416,599.8938679174898,439.3235713021568,1500.4564483155264,1237.4891193991061,847.6978220947785,2018.3571265311912,603.5276016831631
1934,533.7688092506141,307.12278823220913,1098.6135825281963,520.5179458458628,168.16585818783096,788.1248721125303,297.19680917860387,268.6525591715281,616.843355990477,396.11913118478697,541.4069626565833,1275.0084188533947,1401.7202551360242,1068.9875170472078,1613.4654115943704,677.0683233370619
1935,331.8534737023583,327.71881792904196,1118.8163508893922,434.9065592738043,235.06457343578404,831.6780063643819,287.7466797843226,282.1612736609467,780.8058430785195,863.8157475041226,365.7391536566138,1378.6358305835165,880.8960076750282,1016.3145694205014,2024.5834088302217,691.5889390236828
1936,411.9443914027215,574.3148870527591,998.8091450148204,670.3298909931618,450.990909346001,1150.462583631957,272.4337089734945,254.93533866128928,746.0803605965339,695.6187501502427,714.2145419769804,1412.3137463524472,801.8797284683387,1068.176162126474,2169.7479365670006,720.1923403859837
1937,322.15684957873236,366.004303107502,878.3220063211047,426.31741040405586,298.04929205347435,1003.4434701447026,294.4475216621868,520.6337611394702,528.6981425677368,693.6854592161808,388.33148518024245,1214.806999481516,1185.7351107842987,1044.609078252688,1685.8415564060124,624.0706487030366
1938,457.0510882524104,485.65820083581457,1119.863659809198,408.50406648551143,241.27618792199428,692.636624109582,178.99518802896637,203.88253570271573,415.83912043879536,354.5515473546402,505.13859594111636,1370.1510524377227,1059.0049292054941,1045.0275839932146,1860.1053793157917,576.6465844810227
1939,330.0021286973788,509.94149737379075,715.5802214911091,392.92703135320863,189.65729431838554,873.2224568425522,253.53591879988926,266.76816619462954,666.9757300056517,398.04351646071154,580.6035207904642,1530.642890254967,1124.7803884267341,1182.3221099170041,2029.9898371158633,525.8258014082596
1940,439.5789618640265,423.5048479827583,1412.668613292044,472.8921489979257,275.4964297702145,702.1234850474684,170.5716629364133,305.20846850140515,655.2415843594645,465.62490097585396,317.3845399266611,1563.6167865071911,1382.815368014417,1057.4513999337796,1619.5973652647808,541.2440087984578
