years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
2090,0.510181329,1.763504802,2.05698632,0.049157974,1.277073489,-0.76158481,1.542806032,1.141377438,-1.547457877,-2.026316445,-1.644689379,0.66926241,-0.93202223,2.638473789,1.014904117,1.355569502
2091,-0.716936849,0.893623913,-0.560069718,-0.839766233,1.516638628,0.598356742,-0.23780397,0.822355561,1.766570517,0.295242293,-2.642554341,-0.191193246,-0.51005788,1.603797518,1.365104299,0.899613775
2092,-0.086075265,1.571885744,0.226451048,0.756984228,0.278921541,-0.757651765,1.272973234,2.157780196,-2.094504838,-0.155603524,-0.264046971,0.173282347,-1.090858807,1.804273628,-0.004760975,-1.466349404
2093,0.591136073,1.040536196,1.485328721,0.880356054,-0.010760365,-0.192703537,1.846256353,1.095576166,0.649105838,-0.929602696,-1.253359601,0.276346695,2.670822427,3.012929647,0.236219032,-1.320906229
2094,2.216016012,1.579592858,1.124791852,1.565663569,0.493951286,-2.278696692,0.783399465,1.065736165,-0.310770047,-1.34219253,0.499449673,1.567670426,0.253402022,1.68894916,-0.476824865,-0.200627565
2095,0.828949257,1.064683753,0.422861705,-0.030774186,1.214108771,-0.280241215,-0.480162034,0.519157952,2.265845149,-2.480155696,0.011970815,2.201293955,0.915767844,1.948267087,-1.110713865,0.941818309
2096,0.742417695,4.048289669,-1.227722935,1.587235509,1.141016904,1.226064647,1.928897769,-1.035765196,0.771315855,0.135525308,-0.688432622,1.201334365,-0.976906284,1.125903598,1.329599522,-0.269186323
2097,0.312382086,1.478507751,1.013707824,0.313569096,-0.722964304,0.108086555,0.400261903,0.283299988,-0.827382884,-1.113234183,-1.221766024,1.045921269,1.233327193,1.742581411,1.671663807,-1.927623122
2098,1.869784745,1.588105833,2.290705959,-0.417813715,1.963699275,-0.626764922,0.305759368,1.206822872,0.018720595,-0.749846804,-0.519836027,0.805590832,2.384266984,2.237057503,0.681633865,0.101013814
2099,0.038124275,3.294507639,-0.142967423,0.951859547,0.830360884,-2.167769988,1.67422835,1.753316186,0.205154779,-2.741719524,-1.520797445,-0.977817467,1.136298379,2.792437489,-0.4514159,1.955762711
2100,1.286932651,0.982279692,-1.23004147,-0.19998699,-0.275289827,-3.203186514,-0.05746773,2.41652137,-0.385082485,-0.345244395,-2.463302136,1.701167093,1.20775789,1.884394776,0.402433151,0.819631802
2101,-0.452061132,2.536182945,1.324336554,-0.733888635,1.271974156,0.642160651,-0.694582571,0.73534264,1.054362247,-0.114871209,-2.676121043,-1.346504276,1.409648912,0.516927273,2.347156537,-0.339526576
